Phase,Step,Task,"Frontend URL","Login As",Status,Notes
"PHASE 1 — FOUNDATION",1.1,"Create Alamein Campus org unit","/admin/org-units","ahmed",,
"",1.2a,"Create College of Medicine / كلية الطب","/admin/org-units","ahmed",,
"",1.2b,"Create Financial Affairs / الشؤون المادية","/admin/org-units","ahmed",,
"",1.2c,"Create Transportation / النقل","/admin/org-units","ahmed",,
"",1.2d,"Create Student Hotels — Sakan Masr","/admin/org-units","ahmed",,
"",1.2e,"Create Educational Hospital / المستشفى التعليمي","/admin/org-units","ahmed",,
"",1.3a,"Create user alamein.admin (admins_group)","/admin/users","ahmed",,"Password: Alamein_2026"
"",1.3b,"Create user alamein.medical (dataowners, scoped to Medicine)","/admin/users","ahmed",,
"",1.3c,"Create user alamein.finance (dataowners, scoped to Finance)","/admin/users","ahmed",,
"",1.3d,"Create user alamein.transport (dataowners, scoped to Transport)","/admin/users","ahmed",,
"",1.3e,"Create user alamein.hotels (dataowners, scoped to Hotels)","/admin/users","ahmed",,
"",1.3f,"RBAC test: login as alamein.transport → see only Transport","/carbon/my-data","alamein.transport",,
"",1.4,"Create all 15 modules (see Module List tab)","/catalog/products","ahmed",,
"",1.5,"Create all 15 data tables + fields (see Table List tab)","/schema-admin/table-manager","ahmed",,
"","","","","",,
"PHASE 2 — DATA ENTRY","","LOGIN AS alamein.medical — Medicine + Hospital modules","","",,
"",2.1a,"Enter 12 rows in med_electricity (Medicine Electricity)","/carbon/my-data/→/M2/→/med_electricity","alamein.medical",,
"",2.1b,"Enter 5 rows in med_gen_log (Medicine Diesel Generators)","/carbon/my-data/→/M1","alamein.medical",,
"",2.1c,"Enter 12 rows in hospital_electricity","/carbon/my-data/→/M14","alamein.medical",,
"",2.1d,"Enter 5 rows in hospital_gen_log (Hospital Diesel Gen)","/carbon/my-data/→/M11","alamein.medical",,
"",2.1e,"Enter 6 rows in medical_gas_log (Medical Gases)","/carbon/my-data/→/M12","alamein.medical",,
"",2.1f,"Enter 3 rows in hvac_refrigerant_log (HVAC Refrigerants)","/carbon/my-data/→/M13","alamein.medical",,
"",2.1g,"Enter 6 rows in hospital_water","/carbon/my-data/→/M15","alamein.medical",,
"","","LOGIN AS alamein.transport — Transportation modules","","",,
"",2.2a,"Enter 12 rows in fleet_fuel_log (Fleet Fuel)","/carbon/my-data/→/M6","alamein.transport",,
"",2.2b,"Enter 5 rows in staff_travel (Staff Travel)","/carbon/my-data/→/M7","alamein.transport",,
"","","LOGIN AS alamein.finance — Financial Affairs modules","","",,
"",2.3a,"Enter 6 rows in finance_electricity","/carbon/my-data/→/M3","alamein.finance",,
"",2.3b,"Enter 6 rows in office_supplies","/carbon/my-data/→/M4","alamein.finance",,
"",2.3c,"Enter 6 rows in med_procurement","/carbon/my-data/→/M5","alamein.finance",,
"","","LOGIN AS alamein.hotels — Student Hotels modules","","",,
"",2.4a,"Enter 12 rows in hotels_electricity (2 buildings)","/carbon/my-data/→/M8","alamein.hotels",,
"",2.4b,"Enter 6 rows in hotels_chilled_water","/carbon/my-data/→/M9","alamein.hotels",,
"",2.4c,"Enter 12 rows in hotels_water (2 buildings)","/carbon/my-data/→/M10","alamein.hotels",,
"","","","","",,
"PHASE 3 — DATA TRUST","3.1a","Upload evidence: gen-test-report-mar2024.pdf → M1 row GEN-MED-01","Right panel Evidence tab","alamein.medical",,"File in alamein-campus/evidence/"
"",3.1b,"Upload evidence: fuel-invoice-jan2024.pdf → M6 Jan row","Right panel Evidence tab","alamein.transport",,
"",3.1c,"Upload evidence: elec-bill-hosp-jan2024.pdf → M14 HOSP-MAIN Jan","Right panel Evidence tab","alamein.medical",,
"",3.1d,"Upload evidence: procurement-po-mar2024.pdf → M5 MRI contrast row","Right panel Evidence tab","alamein.finance",,
"",3.2a,"Create DQ rule: med_electricity consumption_kwh NOT NULL (error)","/catalog/dq-rules","ahmed",,
"",3.2b,"Create DQ rule: med_electricity consumption_kwh 0-50000 (warn)","/catalog/dq-rules","ahmed",,
"",3.2c,"Create DQ rule: hospital_electricity consumption_kwh NOT NULL (error)","/catalog/dq-rules","ahmed",,
"",3.2d,"Create DQ rule: fleet_fuel_log gasoline_liters NOT NULL (error)","/catalog/dq-rules","ahmed",,
"",3.2e,"Create DQ rule: fleet_fuel_log vehicle_count 1-50 (warn)","/catalog/dq-rules","ahmed",,
"",3.2f,"Create DQ rule: hotels_water consumption_m3 NOT NULL (error)","/catalog/dq-rules","ahmed",,
"",3.2g,"Create DQ rule: hotels_water consumption_m3 0-2000 (warn)","/catalog/dq-rules","ahmed",,
"",3.2h,"Create DQ rule: medical_gas_log quantity_kg NOT NULL (error)","/catalog/dq-rules","ahmed",,
"",3.2i,"Create DQ rule: office_supplies paper_reams 0-500 (info)","/catalog/dq-rules","ahmed",,
"",3.3,"Verify DQ scores appear in Health tab on each module","L2 Module Workspace","any scoped user",,
"","","","","",,
"PHASE 4 — CALCULATIONS","4.1","Create all 14 calculation rules (see Calc Rules tab)","/carbon/admin/rules","ahmed",,
"",4.2,"Run calculations for each module","/carbon/calculations","ahmed",,
"",4.3a,"Verify CO₂e values appear in Row Detail page","L4 Row Detail","any",,
"",4.3b,"Verify CO₂e in right panel Lineage tab","L3/L4 right panel","any",,
"",4.3c,"Verify CO₂e in Impact/Health tabs","L1/L2","any",,
"","","","","",,
"PHASE 5 — GOVERNANCE","5.1a","Create policy: prevent deletion of Scope 1 modules","/catalog/policies","ahmed",,
"",5.1b,"Create policy: lock Hospital modules from non-owners","/catalog/policies","ahmed",,
